0	27883					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f	cat=ndm	toponym=21 other=146 lastname=27258 firstname=47 acronym=414
101	8			Ków	K	subst:pl:gen:m3	lemma=ε lcon=k flex=ów palat=n con=k cat=noun	acronym=8
102	48			L	L	subst:sg:nom.acc:m3	lemma=ε lcon=l flex=ε palat=t con=l cat=noun	acronym=48
103	6			L	L	subst:sg:nom:m2	lemma=ε lcon=l flex=ε palat=t con=l cat=noun	acronym=6
104	3			La	L	subst:sg:gen.acc:m2	lemma=ε lcon=l flex=a palat=t con=l cat=noun	acronym=3
105	3			Lach	L	subst:pl:loc:m2	lemma=ε lcon=l flex=ach palat=t con=l cat=noun	acronym=3
106	24			Lach	L	subst:pl:loc:m3	lemma=ε lcon=l flex=ach palat=t con=l cat=noun	acronym=24
107	1			Lach	Le	subst:pl:loc:m1	lemma=e lcon=l flex=ach palat=t con=l cat=noun	lastname=1
108	3			Lami	L	subst:pl:inst:m2	lemma=ε lcon=l flex=ami palat=t con=l cat=noun	acronym=3
109	24			Lami	L	subst:pl:inst:m3	lemma=ε lcon=l flex=ami palat=t con=l cat=noun	acronym=24
110	1			Lami	Le	subst:pl:inst:m1	lemma=e lcon=l flex=ami palat=t con=l cat=noun	lastname=1
111	3			Le	L	subst:pl:nom.acc.voc:m2	lemma=ε lcon=l flex=e palat=t con=l cat=noun	acronym=3
112	24			Le	L	subst:pl:nom.acc.voc:m3	lemma=ε lcon=l flex=e palat=t con=l cat=noun	acronym=24
113	1			Le	Le	subst:sg:nom.voc:m1|depr:pl:nom.acc.voc:m2	lemma=e lcon=l flex=e palat=t con=l cat=noun	lastname=1
114	1			Lego	Le	subst:sg:gen.acc:m1	lemma=e lcon=l flex=ego palat=t con=l cat=noun	lastname=1
115	3			Lem	L	subst:sg:inst:m2	lemma=ε lcon=l flex=em palat=t con=l cat=noun	acronym=3
116	24			Lem	L	subst:sg:inst:m3	lemma=ε lcon=l flex=em palat=t con=l cat=noun	acronym=24
117	1			Lem	Le	subst:sg:inst.loc:m1	lemma=e lcon=l flex=em palat=t con=l cat=noun	lastname=1
118	1			Lemu	Le	subst:sg:dat:m1	lemma=e lcon=l flex=emu palat=t con=l cat=noun	lastname=1
119	24			Li	L	subst:pl:gen:m3	lemma=ε lcon=l flex=y palat=t con=l cat=noun	acronym=24
120	3			Lom	L	subst:pl:dat:m2	lemma=ε lcon=l flex=om palat=t con=l cat=noun	acronym=3
121	24			Lom	L	subst:pl:dat:m3	lemma=ε lcon=l flex=om palat=t con=l cat=noun	acronym=24
122	1			Lom	Le	subst:pl:dat:m1	lemma=e lcon=l flex=om palat=t con=l cat=noun	lastname=1
123	3			Lowi	L	subst:sg:dat:m2	lemma=ε lcon=l flex=owi palat=t con=l cat=noun	acronym=3
124	24			Lowi	L	subst:sg:dat:m3	lemma=ε lcon=l flex=owi palat=t con=l cat=noun	acronym=24
125	1			Lowie	Le	subst:pl:nom.voc:m1	lemma=e lcon=l flex=owie palat=t con=l cat=noun	lastname=1
126	24			Lu	L	subst:sg:gen:m3	lemma=ε lcon=l flex=u palat=t con=l cat=noun	acronym=24
127	3			Lu	L	subst:sg:loc.voc:m2	lemma=ε lcon=l flex=u palat=t con=l cat=noun	acronym=3
128	24			Lu	L	subst:sg:loc.voc:m3	lemma=ε lcon=l flex=u palat=t con=l cat=noun	acronym=24
129	3			Lów	L	subst:pl:gen:m2	lemma=ε lcon=l flex=ów palat=t con=l cat=noun	acronym=3
130	1			Lów	Le	subst:pl:gen.acc:m1	lemma=e lcon=l flex=ów palat=t con=l cat=noun	lastname=1
131	84			M	M	subst:sg:nom.acc:m3	lemma=ε lcon=m flex=ε palat=n con=m cat=noun	acronym=84
132	1			Ma	M	subst:sg:gen:m3	lemma=ε lcon=m flex=a palat=n con=m cat=noun	acronym=1
133	42			Mach	M	subst:pl:loc:m3	lemma=ε lcon=m flex=ach palat=n con=m cat=noun	acronym=42
134	42			Mami	M	subst:pl:inst:m3	lemma=ε lcon=m flex=ami palat=n con=m cat=noun	acronym=42
135	42			Mem	M	subst:sg:inst:m3	lemma=ε lcon=m flex=em palat=n con=m cat=noun	acronym=42
136	42			Mom	M	subst:pl:dat:m3	lemma=ε lcon=m flex=om palat=n con=m cat=noun	acronym=42
137	42			Mowi	M	subst:sg:dat:m3	lemma=ε lcon=m flex=owi palat=n con=m cat=noun	acronym=42
138	42			Mu	M	subst:sg:gen:m3	lemma=ε lcon=m flex=u palat=n velar=n con=m cat=noun	acronym=42
139	42			My	M	subst:pl:nom.acc.voc:m3	lemma=ε lcon=m flex=y palat=n con=m cat=noun	acronym=42
140	42			Mów	M	subst:pl:gen:m3	lemma=ε lcon=m flex=ów palat=n con=m cat=noun	acronym=42
141	94			N	N	subst:sg:nom.acc:m3	lemma=ε lcon=n flex=ε palat=n con=n cat=noun	acronym=94
142	46			Nach	N	subst:pl:loc:m3	lemma=ε lcon=n flex=ach palat=n con=n cat=noun	acronym=46
143	46			Nami	N	subst:pl:inst:m3	lemma=ε lcon=n flex=ami palat=n con=n cat=noun	acronym=46
144	46			Nem	N	subst:sg:inst:m3	lemma=ε lcon=n flex=em palat=n con=n cat=noun	acronym=46
145	46			Nom	N	subst:pl:dat:m3	lemma=ε lcon=n flex=om palat=n con=n cat=noun	acronym=46
146	46			Nowi	N	subst:sg:dat:m3	lemma=ε lcon=n flex=owi palat=n con=n cat=noun	acronym=46
147	46			Nu	N	subst:sg:gen:m3	lemma=ε lcon=n flex=u palat=n velar=n con=n cat=noun	acronym=46
148	46			Ny	N	subst:pl:nom.acc.voc:m3	lemma=ε lcon=n flex=y palat=n con=n cat=noun	acronym=46
149	46			Nów	N	subst:pl:gen:m3	lemma=ε lcon=n flex=ów palat=n con=n cat=noun	acronym=46
150	49			P	P	subst:sg:nom.acc:m3	lemma=ε lcon=p flex=ε palat=n con=p cat=noun	acronym=49
151	2			P	P	subst:sg:nom:m1	lemma=ε lcon=p flex=ε palat=n con=p cat=noun	acronym=2
152	1			Pa	P	subst:sg:gen.acc:m1	lemma=ε lcon=p flex=a palat=n con=p cat=noun	acronym=1
153	1			Pach	P	subst:pl:loc:m1	lemma=ε lcon=p flex=ach palat=n con=p cat=noun	acronym=1
154	24			Pach	P	subst:pl:loc:m3	lemma=ε lcon=p flex=ach palat=n con=p cat=noun	acronym=24
155	1			Pami	P	subst:pl:inst:m1	lemma=ε lcon=p flex=ami palat=n con=p cat=noun	acronym=1
156	24			Pami	P	subst:pl:inst:m3	lemma=ε lcon=p flex=ami palat=n con=p cat=noun	acronym=24
157	1			Pem	P	subst:sg:inst:m1	lemma=ε lcon=p flex=em palat=n con=p cat=noun	acronym=1
158	24			Pem	P	subst:sg:inst:m3	lemma=ε lcon=p flex=em palat=n con=p cat=noun	acronym=24
159	1			Pom	P	subst:pl:dat:m1	lemma=ε lcon=p flex=om palat=n con=p cat=noun	acronym=1
160	24			Pom	P	subst:pl:dat:m3	lemma=ε lcon=p flex=om palat=n con=p cat=noun	acronym=24
161	1			Powi	P	subst:sg:dat:m1	lemma=ε lcon=p flex=owi palat=n con=p cat=noun	acronym=1
162	24			Powi	P	subst:sg:dat:m3	lemma=ε lcon=p flex=owi palat=n con=p cat=noun	acronym=24
163	1			Powie	P	subst:pl:nom.voc:m1	lemma=ε lcon=p flex=owie palat=n con=p cat=noun	acronym=1
