się	się	qub
gie	+gi	adj:sg:nom.acc.voc:n:pos
ga	+gi	adj:sg:nom.voc:f:pos
giego	+gi	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
giemu	+gi	adj:sg:dat:m1.m2.m3.n:pos
giej	+gi	adj:sg:gen.dat.loc:f:pos
gim	+gi	adj:sg:inst.loc:m1.m2.m3.n:pos
gą	+gi	adj:sg:acc.inst:f:pos
dzy	+gi	adj:pl:nom.voc:m1:pos
gie	+gi	adj:pl:nom.acc.voc:m2.m3.n.f:pos
gich	+gi	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
gim	+gi	adj:pl:dat:_:pos
gimi	+gi	adj:pl:inst:_:pos
go	+gi	adja
ci	+ci	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
cie	+ci	adj:sg:nom.acc.voc:n:pos
cia	+ci	adj:sg:nom.voc:f:pos
ciego	+ci	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
ciemu	+ci	adj:sg:dat:m1.m2.m3.n:pos
ciej	+ci	adj:sg:gen.dat.loc:f:pos
cim	+ci	adj:sg:inst.loc:m1.m2.m3.n:pos
cią	+ci	adj:sg:acc.inst:f:pos
ci	+ci	adj:pl:nom.voc:m1:pos
cie	+ci	adj:pl:nom.acc.voc:m2.m3.n.f:pos
cich	+ci	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
cim	+ci	adj:pl:dat:_:pos
cimi	+ci	adj:pl:inst:_:pos
cio	+ci	adja
ty	+ty	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
te	+ty	adj:sg:nom.acc.voc:n:pos
ta	+ty	adj:sg:nom.voc:f:pos
tego	+ty	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
temu	+ty	adj:sg:dat:m1.m2.m3.n:pos
tej	+ty	adj:sg:gen.dat.loc:f:pos
tym	+ty	adj:sg:inst.loc:m1.m2.m3.n:pos
tą	+ty	adj:sg:acc.inst:f:pos
ci	+ty	adj:pl:nom.voc:m1:pos
te	+ty	adj:pl:nom.acc.voc:m2.m3.n.f:pos
tych	+ty	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
tym	+ty	adj:pl:dat:_:pos
tymi	+ty	adj:pl:inst:_:pos
to	+ty	adja
sty	+sty	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
ste	+sty	adj:sg:nom.acc.voc:n:pos
sta	+sty	adj:sg:nom.voc:f:pos
stego	+sty	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
stemu	+sty	adj:sg:dat:m1.m2.m3.n:pos
stej	+sty	adj:sg:gen.dat.loc:f:pos
stym	+sty	adj:sg:inst.loc:m1.m2.m3.n:pos
stą	+sty	adj:sg:acc.inst:f:pos
ści	+sty	adj:pl:nom.voc:m1:pos
ste	+sty	adj:pl:nom.acc.voc:m2.m3.n.f:pos
stych	+sty	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
stym	+sty	adj:pl:dat:_:pos
stymi	+sty	adj:pl:inst:_:pos
sto	+sty	adja
my	+my	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
me	+my	adj:sg:nom.acc.voc:n:pos
ma	+my	adj:sg:nom.voc:f:pos
mego	+my	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
memu	+my	adj:sg:dat:m1.m2.m3.n:pos
mej	+my	adj:sg:gen.dat.loc:f:pos
mym	+my	adj:sg:inst.loc:m1.m2.m3.n:pos
mą	+my	adj:sg:acc.inst:f:pos
mi	+my	adj:pl:nom.voc:m1:pos
me	+my	adj:pl:nom.acc.voc:m2.m3.n.f:pos
mych	+my	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
mym	+my	adj:pl:dat:_:pos
mymi	+my	adj:pl:inst:_:pos
mo	+my	adja
smy	+smy	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
sme	+smy	adj:sg:nom.acc.voc:n:pos
sma	+smy	adj:sg:nom.voc:f:pos
smego	+smy	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
smemu	+smy	adj:sg:dat:m1.m2.m3.n:pos
smej	+smy	adj:sg:gen.dat.loc:f:pos
smym	+smy	adj:sg:inst.loc:m1.m2.m3.n:pos
smą	+smy	adj:sg:acc.inst:f:pos
śmi	+smy	adj:pl:nom.voc:m1:pos
sme	+smy	adj:pl:nom.acc.voc:m2.m3.n.f:pos
smych	+smy	adj:pl:gen.loc:_:pos|adj:pl:acc:m1:pos
smym	+smy	adj:pl:dat:_:pos
smymi	+smy	adj:pl:inst:_:pos
smo	+smy	adja
y	+y	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
i	+y	adj:sg:nom.voc:m1.m2.m3:pos|adj:sg:acc:m3:pos
e	+y	adj:sg:nom.acc.voc:n:pos
a	+y	adj:sg:nom.voc:f:pos
ego	+y	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
go	+y	adj:sg:gen:m1.m2.m3.n:pos|adj:sg:acc:m1.m2:pos
emu	+y	adj:sg:dat:m1.m2.m3.n:pos
mu	+y	adj:sg:dat:m1.m2.m3.n:pos
ej	+y	adj:sg:gen.dat.loc:f:pos
ym	+y	adj:sg:inst.loc:m1.m2.m3.n:pos
im	+y	adj:sg:inst.loc:m1.m2.m3.n:pos
ą	+y	adj:sg:acc.inst:f:pos
i	+y	adj:pl:nom.voc:m1:pos
y	+y	adj:pl:nom.voc:m1:pos
